Column1;Column2;Column3;Column4
28;27;0;2
28;27;0;2
28;27;0;3
28;27;0;3
29;27;0;3
29;27;0;3
29;27;0;3
29;27;0;3
28;27;0;2
27;27;0;2
26;28;1;3
25;28;2;3
24;28;3;3
23;28;4;2
21;28;5;2
20;28;6;2
19;29;7;2
18;29;8;2
16;29;9;2
15;30;10;2
14;30;11;2
13;30;12;1
11;30;13;1
10;30;14;1
9;31;14;1
8;31;15;1
7;31;16;1
5;31;18;1
4;31;19;0
3;31;19;1
2;32;20;1
1;32;21;1
0;32;22;0
