Column1;Column2;Column3;Column4
9.0232525;-79.5315123;8.04; Region 1
9.0232522;-79.5315108;8.02; Region 1
9.0232505;-79.5315095;7.85; Region 1
9.023244;-79.5315115;7.11; Region 1
9.0232412;-79.5315108;6.81; Region 1
9.0232352;-79.5315137;6.11; Region 1
9.0232318;-79.5315147;5.73; Region 1
9.023228;-79.531514;5.31; Region 1
9.0232245;-79.5315157;4.91; Region 1
9.0232232;-79.5315145;4.78; Region 1
9.023223;-79.5315127;4.77; Region 1
9.0232225;-79.5315103;4.75; Region 1
9.0232215;-79.5315087;4.67; Region 1
9.0232178;-79.5315098;4.25; Region 1
9.0232163;-79.5315077;4.14; Region 1
9.0232138;-79.531507;3.89; Region 1
9.0232123;-79.5315077;3.71; Region 1
9.0232093;-79.5315062;3.45; Region 1
9.0232075;-79.531503;3.41; Region 1
9.0232062;-79.5315012;3.38; Region 1
9.0232047;-79.5315002;3.3; Region 1
9.0232037;-79.5314978;3.37; Region 1
9.023201;-79.531499;3.06; Region 1
9.0231997;-79.5314988;2.96; Region 1
9.0231983;-79.5314968;3.01; Region 1
9.0231977;-79.5314932;3.28; Region 1
9.023197;-79.531491;3.43; Region 1
9.023194;-79.5314927;3.1; Region 1
9.0231917;-79.5314948;2.78; Region 1
9.023189;-79.531496;2.53; Region 1
9.0231858;-79.5314968;2.34; Region 1
9.023184;-79.5314968;2.29; Region 1
9.0231822;-79.5314972;2.22; Region 1
9.0231815;-79.5314952;2.43; Region 1
9.0231797;-79.5314942;2.54; Region 1
9.0231783;-79.5314935;2.63; Region 1
9.0231763;-79.5314923;2.79; Region 1
9.0233873;-79.5316457;26; Region 1
9.0233858;-79.5316455;26; Region 1
9.023384;-79.5316453;26; Region 1
9.023382;-79.5316445;26; Region 1
9.0233782;-79.5316425;25; Region 1
9.023376;-79.5316405;25; Region 1
9.0233747;-79.5316378;25; Region 1
9.0233732;-79.531636;25; Region 1
9.0233715;-79.5316343;24; Region 1
9.0233712;-79.5316337;24; Region 1
9.023368;-79.5316352;24; Region 1
9.0233685;-79.5316342;24; Region 1
9.023367;-79.5316327;24; Region 1
9.023366;-79.5316313;24; Region 1
9.0233667;-79.5316307;24; Region 1
9.0233652;-79.531632;24; Region 1
9.0233637;-79.5316307;23; Region 1
9.0233625;-79.5316292;23; Region 1
9.0233607;-79.5316288;23; Region 1
9.023359;-79.5316275;23; Region 1
9.0233573;-79.5316258;23; Region 1
9.0233558;-79.5316243;22; Region 1
9.0233542;-79.5316228;22; Region 1
9.0233522;-79.5316217;22; Region 1
9.0233503;-79.5316212;22; Region 1
9.0233483;-79.5316188;21; Region 1
9.023347;-79.5316193;21; Region 1
9.023345;-79.5316217;21; Region 1
9.0233443;-79.5316195;21; Region 1
9.0233433;-79.5316193;21; Region 1
9.0233423;-79.5316188;21; Region 1
9.0233412;-79.5316168;20; Region 1
9.02334;-79.5316195;21; Region 1
9.0233388;-79.5316192;20; Region 1
9.023339;-79.531619;20; Region 1
9.0233388;-79.5316183;20; Region 1
9.023337;-79.531617;20; Region 1
9.0233357;-79.531615;20; Region 1
9.0233347;-79.5316135;20; Region 1
9.0233332;-79.5316125;19; Region 1
9.0233332;-79.5316128;19; Region 1
9.0233313;-79.5316125;19; Region 1
9.0233312;-79.5316125;19; Region 1
9.0233297;-79.5316093;19; Region 1
9.023329;-79.5316083;19; Region 1
9.0233275;-79.531607;19; Region 1
9.0233277;-79.5316063;19; Region 1
9.0233257;-79.5316055;18; Region 1
9.0233227;-79.5316038;18; Region 1
9.0233203;-79.5316025;18; Region 1
9.023318;-79.5316028;17; Region 1
9.0233168;-79.5316022;17; Region 1
9.0233153;-79.5316008;17; Region 1
9.0233135;-79.5315998;17; Region 1
9.0233123;-79.5315985;17; Region 1
9.0233118;-79.5315975;17; Region 1
9.0233102;-79.5315965;16; Region 1
9.0233082;-79.5315973;16; Region 1
9.0233073;-79.5315967;16; Region 1
9.023306;-79.5315953;16; Region 1
9.0233052;-79.5315937;16; Region 1
9.0233033;-79.5315927;15; Region 1
9.0233013;-79.531591;15; Region 1
9.0232988;-79.531592;15; Region 1
9.0232973;-79.5315915;15; Region 1
9.0232958;-79.5315917;15; Region 1
9.0232947;-79.5315917;15; Region 1
9.0232932;-79.531591;14; Region 1
9.0232913;-79.5315888;14; Region 1
9.0232898;-79.531588;14; Region 1
9.0232888;-79.5315875;14; Region 1
9.0232877;-79.5315858;14; Region 1
9.0232868;-79.5315845;13; Region 1
9.023287;-79.5315815;13; Region 1
9.0232862;-79.53158;13; Region 1
9.0232845;-79.5315788;13; Region 1
9.0232845;-79.5315767;13; Region 1
9.0232835;-79.5315752;13; Region 1
9.0232828;-79.5315738;12; Region 1
9.0232823;-79.5315723;12; Region 1
9.0232807;-79.5315712;12; Region 1
