
, 2018-08-29 18:58:50.249953 
5.02, 3.89, 5.47
, 2018-08-29 18:58:50.352646 
4.92, 4.00, 5.57
, 2018-08-29 18:58:50.454284 
5.02, 4.01, 5.56
, 2018-08-29 18:58:50.549650 
5.02, 4.01, 5.45
, 2018-08-29 18:58:50.651121 
5.02, 3.89, 5.57
, 2018-08-29 18:58:50.754297 
4.92, 4.01, 5.57
, 2018-08-29 18:58:50.851719 
5.02, 4.01, 5.56
, 2018-08-29 18:58:50.950940 
5.02, 4.01, 5.45
, 2018-08-29 18:58:51.052427 
4.92, 4.01, 5.56
, 2018-08-29 18:58:51.155416 
5.02, 4.01, 5.56
, 2018-08-29 18:58:51.249478 
5.02, 4.01, 5.45
, 2018-08-29 18:58:51.352289 
5.02, 3.89, 5.56
, 2018-08-29 18:58:51.449995 
4.92, 4.01, 5.57
, 2018-08-29 18:58:51.552761 
5.02, 4.01, 5.56
, 2018-08-29 18:58:51.655557 
5.02, 4.01, 5.45
, 2018-08-29 18:58:51.753706 
4.92, 4.01, 5.57
, 2018-08-29 18:58:51.851430 
5.02, 4.01, 5.56
, 2018-08-29 18:58:51.950523 
5.02, 4.01, 5.45
, 2018-08-29 18:58:52.051911 
5.02, 3.91, 5.57
, 2018-08-29 18:58:52.154986 
4.92, 4.01, 5.57
, 2018-08-29 18:58:52.252685 
5.02, 4.01, 5.56
, 2018-08-29 18:58:52.351667 
5.02, 4.01, 5.47
, 2018-08-29 18:58:52.454208 
5.02, 3.89, 5.56
, 2018-08-29 18:58:52.552259 
4.92, 4.00, 5.56
, 2018-08-29 18:58:52.655084 
5.02, 4.01, 5.45
, 2018-08-29 18:58:52.753001 
5.02, 3.91, 5.57
, 2018-08-29 18:58:52.856035 
4.92, 4.01, 5.56
, 2018-08-29 18:58:52.957631 
5.02, 4.00, 5.56
, 2018-08-29 18:58:53.055795 
5.02, 4.01, 5.45
, 2018-08-29 18:58:53.159043 
5.02, 3.89, 5.56
, 2018-08-29 18:58:53.256883 
4.92, 4.00, 5.56
, 2018-08-29 18:58:53.354800 
5.02, 4.01, 5.47
, 2018-08-29 18:58:53.457845 
5.02, 3.89, 5.45
, 2018-08-29 18:58:53.552171 
4.92, 4.01, 5.57
, 2018-08-29 18:58:53.654978 
5.02, 4.01, 5.57
, 2018-08-29 18:58:53.756351 
5.02, 4.00, 5.45
, 2018-08-29 18:58:53.854560 
5.02, 3.89, 5.57
, 2018-08-29 18:58:53.953615 
4.92, 4.01, 5.56
, 2018-08-29 18:58:54.055068 
5.02, 4.01, 5.56
, 2018-08-29 18:58:54.154455 
5.02, 4.01, 5.45
, 2018-08-29 18:58:54.255863 
4.92, 4.00, 5.56
, 2018-08-29 18:58:54.355417 
5.02, 4.01, 5.56
, 2018-08-29 18:58:54.453251 
5.02, 4.01, 5.47
, 2018-08-29 18:58:54.556041 
5.02, 3.91, 5.57
, 2018-08-29 18:58:54.653972 
4.92, 4.01, 5.57
, 2018-08-29 18:58:54.755634 
5.02, 4.01, 5.57
, 2018-08-29 18:58:54.858633 
5.02, 4.01, 5.45
, 2018-08-29 18:58:54.952782 
4.92, 4.01, 5.57
, 2018-08-29 18:58:55.054448 
5.02, 4.01, 5.57
, 2018-08-29 18:58:55.157760 
5.02, 4.00, 5.45
, 2018-08-29 18:58:55.255634 
5.02, 3.91, 5.57
, 2018-08-29 18:58:55.354705 
4.92, 4.00, 5.57
, 2018-08-29 18:58:55.456525 
5.02, 4.01, 5.56
, 2018-08-29 18:58:55.558468 
5.02, 4.01, 5.47
, 2018-08-29 18:58:55.657816 
5.02, 3.89, 5.57
, 2018-08-29 18:58:55.755860 
4.92, 4.01, 5.57
, 2018-08-29 18:58:55.858582 
5.02, 4.01, 5.45
, 2018-08-29 18:58:55.956826 
5.02, 3.89, 5.56
, 2018-08-29 18:58:56.054583 
4.92, 4.00, 5.57
, 2018-08-29 18:58:56.157389 
5.02, 4.00, 5.56
, 2018-08-29 18:58:56.255158 
5.02, 4.01, 5.45
, 2018-08-29 18:58:56.354159 
5.02, 3.91, 5.56
, 2018-08-29 18:58:56.455707 
4.92, 4.01, 5.56
, 2018-08-29 18:58:56.554867 
5.02, 4.01, 5.45
, 2018-08-29 18:58:56.656531 
5.02, 3.89, 5.45
, 2018-08-29 18:58:56.755664 
4.92, 4.00, 5.57
, 2018-08-29 18:58:56.857118 
5.02, 4.01, 5.56
, 2018-08-29 18:58:56.955227 
5.02, 4.00, 5.45
, 2018-08-29 18:58:57.058190 
5.02, 3.91, 5.56
, 2018-08-29 18:58:57.156731 
4.92, 4.01, 5.57
, 2018-08-29 18:58:57.255497 
5.02, 4.01, 5.57
, 2018-08-29 18:58:57.353389 
5.02, 4.01, 5.45
, 2018-08-29 18:58:57.456075 
4.92, 4.01, 5.56
, 2018-08-29 18:58:57.553889 
5.02, 4.01, 5.57
, 2018-08-29 18:58:57.656710 
5.02, 4.00, 5.47
, 2018-08-29 18:58:57.754660 
5.02, 3.91, 5.57
, 2018-08-29 18:58:57.857446 
4.92, 4.01, 5.56
, 2018-08-29 18:58:57.955213 
5.02, 4.01, 5.56
