Column1;Column2
9.023172922;-79.53182712
9.023179614;-79.53182335
9.023188679;-79.53181824
9.023196226;-79.53181399
9.023204863;-79.53180912
9.023213073;-79.53180449
9.023222041;-79.53179943
9.023231437;-79.53179413
9.023240171;-79.53178921
9.023249898;-79.53178373
9.023258439;-79.53177891
9.02326978;-79.53177252
9.023280363;-79.53176655
9.023290849;-79.53176064
9.02330186;-79.53175443
9.023312442;-79.53174846
9.023323122;-79.53174244
9.023334463;-79.53173605
9.023344094;-79.53173062
9.023354152;-79.53172495
9.023363451;-79.53171971
9.023372419;-79.53171465
9.023379442;-79.53171069
9.023387321;-79.53170625
9.023395433;-79.53170167
9.023402359;-79.53169777
9.023405726;-79.53169587
