Column1;Column2
9.02288067;-79.53177311
9.022890774;-79.53177571
9.022903452;-79.53177896
9.022914952;-79.53178191
9.022927414;-79.53178511
9.022937519;-79.5317877
9.022947864;-79.53179036
9.022958666;-79.53179313
9.022970165;-79.53179608
9.022981664;-79.53179903
9.022993886;-79.53180217
9.023005626;-79.53180518
9.023017366;-79.5318082
9.023027927;-79.53181091
9.023038945;-79.53181373
9.023050203;-79.53181662
9.023062641;-79.53181981
9.023073924;-79.53182271
9.023084967;-79.53182554
9.023095768;-79.53182832
9.023107027;-79.53183121
9.023118526;-79.53183416
9.023130723;-79.53183729
9.023142463;-79.5318403
9.023152326;-79.53184283
9.023163128;-79.5318456
