Column1;Column2
9.022900704;-79.53177826
9.02290963;-79.53178055
9.022918796;-79.5317829
9.022926302;-79.53178482
9.022934986;-79.53178705
9.02294485;-79.53178959
9.022954713;-79.53179212
9.022964361;-79.53179459
9.022972589;-79.5317967
9.022982212;-79.53179917
9.022992076;-79.53180171
9.023001939;-79.53180424
9.023011803;-79.53180677
9.02302121;-79.53180918
9.023031555;-79.53181184
9.02304024;-79.53181407
9.023050103;-79.5318166
9.023060905;-79.53181937
9.023069831;-79.53182166
9.023081114;-79.53182456
9.023091218;-79.53182715
9.023100841;-79.53182962
9.023111402;-79.53183233
9.023120784;-79.53183474
9.023131346;-79.53183745
9.023141209;-79.53183998
9.02315177;-79.53184269
9.023160455;-79.53184492
9.02316914;-79.53184715
9.023174769;-79.53184859
9.023177824;-79.53184937
9.023179244;-79.53184974
9.023179244;-79.53184974
