Column1;Column2
9.022888225;-79.53177505
9.022899749;-79.53177801
9.02291149;-79.53178102
9.022924168;-79.53178428
9.022936846;-79.53178753
9.022949043;-79.53179066
9.022962875;-79.53179421
9.022976251;-79.53179764
9.022988929;-79.5318009
9.023003724;-79.53180469
9.023017341;-79.53180819
9.023030957;-79.53181168
9.023043876;-79.531815
9.023056098;-79.53181814
9.023068776;-79.53182139
9.023080973;-79.53182452
9.023094349;-79.53182795
9.02310936;-79.5318318
9.023123674;-79.53183548
9.023137049;-79.53183891
9.023149728;-79.53184216
9.023161709;-79.53184524
9.023172751;-79.53184807
