Column1;Column2
9.023171114;-79.53182814
9.023171541;-79.5318279
9.023171541;-79.5318279
9.023171541;-79.5318279
9.023171872;-79.53182772
9.023172203;-79.53182753
9.023171872;-79.53182772
9.02317339;-79.53182686
9.023179226;-79.53182357
9.023189147;-79.53181798
9.023199827;-79.53181196
9.023210506;-79.53180593
9.023223034;-79.53179887
9.023234707;-79.53179229
9.023246048;-79.5317859
9.023256631;-79.53177993
9.023267545;-79.53177378
9.023278555;-79.53176757
9.02329118;-79.53176045
9.023304136;-79.53175315
9.023316664;-79.53174608
9.023329523;-79.53173883
9.023341527;-79.53173207
9.02335353;-79.5317253
9.023365203;-79.53171872
9.023376117;-79.53171256
9.023387886;-79.53170593
9.023399752;-79.53169924
9.023410004;-79.53169346
