Column1;Column2;Column3;Column4
1;32;24;0
1;32;24;0
1;32;24;0
1;32;24;0
1;32;24;0
1;31;24;0
1;29;24;1
1;28;25;3
1;27;25;4
1;25;26;5
1;23;27;7
1;22;27;8
1;21;28;10
1;19;29;11
2;18;29;12
2;16;30;14
1;15;30;15
1;13;31;16
1;12;31;18
1;10;31;19
1;9;32;21
1;7;33;22
2;6;34;23
2;4;35;25
2;3;35;26
2;1;36;28
2;0;36;29
1;0;36;30
1;1;36;31
1;2;37;32
1;3;37;32
1;2;37;32
1;3;37;32
1;3;37;32
1;3;37;32
1;3;37;32
