9.02335677249, -79.5316535447, 9.02320596459, -79.5314934729, 9.02329760669, -79.5318801155, 9.0231652414, -79.531638913
9.02335891907, -79.5316551109, 9.0232083716, -79.5314912586, 9.02330100333, -79.5318809872, 9.02316533222, -79.5316378852
9.02335779901, -79.5316542937, 9.02320672722, -79.5314927713, 9.02329903808, -79.5318804829, 9.02316524425, -79.5316388807
9.0233582788, -79.5316546438, 9.02320757216, -79.531491994, 9.02329994972, -79.5318807168, 9.02316529662, -79.5316382881
9.02336040073, -79.5316561919, 9.02321049479, -79.5314893055, 9.02330357718, -79.5318816478, 9.02316544316, -79.5316366299
9.02336104633, -79.531656663, 9.02321165603, -79.5314882372, 9.02330481594, -79.5318819657, 9.02316551616, -79.5316358038
9.02335995091, -79.5316558638, 9.02320949603, -79.5314902242, 9.02330261987, -79.5318814021, 9.02316537248, -79.5316374297
9.02335976746, -79.5316557299, 9.02320907573, -79.5314906109, 9.023302223, -79.5318813002, 9.0231653423, -79.5316377712
9.02336305343, -79.5316581274, 9.02321224972, -79.5314876911, 9.02330716893, -79.5318825695, 9.02316542799, -79.5316368016
9.02336615062, -79.5316603871, 9.02321464161, -79.5314854907, 9.02331153284, -79.5318836895, 9.02316544609, -79.5316365967
9.0233739289, -79.5316660622, 9.02322082931, -79.5314797986, 9.0233225821, -79.5318865251, 9.02316551045, -79.5316358684
9.02337430113, -79.5316663338, 9.02322203171, -79.5314786925, 9.02332356099, -79.5318867764, 9.02316560821, -79.5316347622
9.02337429413, -79.5316663287, 9.02322265131, -79.5314781225, 9.02332386155, -79.5318868535, 9.02316567347, -79.5316340238
9.02337321468, -79.5316655411, 9.02322157671, -79.531479111, 9.02332222093, -79.5318864324, 9.02316564198, -79.5316343801
9.02337568756, -79.5316673454, 9.02322425454, -79.5314766476, 9.02332608668, -79.5318874245, 9.02316573668, -79.5316333084
9.02337351298, -79.5316657588, 9.02322432594, -79.531476582, 9.02332389227, -79.5318868614, 9.02316590688, -79.5316313825
9.0233663876, -79.53166056, 9.02322198588, -79.5314787346, 9.0233154235, -79.531884688, 9.02316619563, -79.531628115
9.02336267506, -79.5316578513, 9.02322158493, -79.5314791035, 9.02331141744, -79.5318836599, 9.02316643157, -79.5316254452
9.02335899082, -79.5316551633, 9.02322201157, -79.531478711, 9.02330785142, -79.5318827447, 9.02316675185, -79.5316218209
9.02335244045, -79.5316503841, 9.02322041678, -79.5314801781, 9.02330034244, -79.5318808176, 9.02316707544, -79.5316181593
9.02334532236, -79.5316451906, 9.02322076312, -79.5314798595, 9.02329321539, -79.5318789886, 9.0231676443, -79.5316117221
9.02334123423, -79.5316422079, 9.02322112258, -79.5314795288, 9.02328920186, -79.5318779585, 9.02316798779, -79.5316078353
9.02333775977, -79.5316396729, 9.0232204725, -79.5314801268, 9.02328531618, -79.5318769613, 9.02316817989, -79.5316056615
9.02333217963, -79.5316356016, 9.02322129118, -79.5314793737, 9.02328000078, -79.5318755972, 9.02316868301, -79.5315999683
9.02332599815, -79.5316310915, 9.02322286159, -79.531477929, 9.02327444212, -79.5318741706, 9.02316930967, -79.5315928772
9.02332063843, -79.531627181, 9.02322332715, -79.5314775008, 9.02326917736, -79.5318728195, 9.0231697594, -79.5315877881
9.02331330691, -79.5316218318, 9.02322340701, -79.5314774273, 9.0232616991, -79.5318709003, 9.02317031639, -79.5315814852
9.02331186616, -79.5316207807, 9.0232251596, -79.5314758151, 9.02326109218, -79.5318707445, 9.02317060731, -79.5315781933
9.02330765816, -79.5316177105, 9.02322613433, -79.5314749184, 9.0232572613, -79.5318697614, 9.02317102405, -79.5315734775
9.0233008714, -79.5316127588, 9.02322380728, -79.5314770591, 9.02324914623, -79.5318676788, 9.02317128882, -79.5315704814
9.02329523468, -79.5316086462, 9.02322297079, -79.5314778286, 9.02324295074, -79.5318660888, 9.02317162326, -79.531566697
9.02328984135, -79.5316047111, 9.02322224697, -79.5314784944, 9.02323706079, -79.5318645772, 9.02317195125, -79.5315629855
9.02328356631, -79.5316001328, 9.02322293564, -79.5314778609, 9.02323096825, -79.5318630136, 9.02317249279, -79.5315568575
9.02327936196, -79.5315970653, 9.02322525356, -79.5314757286, 9.02322780824, -79.5318622027, 9.02317304958, -79.531550557
9.02327368097, -79.5315929204, 9.0232225041, -79.5314782579, 9.02322061726, -79.5318603572, 9.02317318747, -79.5315489966
9.02326816412, -79.5315888952, 9.02322105235, -79.5314795934, 9.02321423911, -79.5318587203, 9.02317344866, -79.5315460411
9.02326326123, -79.531585318, 9.02322189705, -79.5314788163, 9.0232096311, -79.5318575377, 9.02317390381, -79.5315408906
9.02325953805, -79.5315826016, 9.02322077251, -79.5314798508, 9.02320525474, -79.5318564146, 9.02317406495, -79.5315390672
9.02325522585, -79.5315794554, 9.02322014189, -79.5314804309, 9.0232005197, -79.5318551994, 9.02317432177, -79.531536161
9.02324992075, -79.5315755847, 9.02321993802, -79.5314806185, 9.02319497846, -79.5318537773, 9.02317469748, -79.5315319096
9.02324541277, -79.5315722956, 9.02321914492, -79.5314813481, 9.02318996196, -79.5318524899, 9.02317495198, -79.5315290297
9.0232435082, -79.531570906, 9.02322113797, -79.5314795146, 9.02318899885, -79.5318522427, 9.02317530273, -79.5315250607
9.02324191789, -79.5315697457, 9.02322696565, -79.5314741537, 9.02319026252, -79.531852567, 9.02317603057, -79.5315168246
9.02324000464, -79.5315683498, 9.0232305597, -79.5314708474, 9.02319008567, -79.5318525217, 9.02317654923, -79.5315109555
