0, 24, 25, 21
0, 24, 25, 21
0, 24, 25, 21
0, 24, 25, 21
0, 24, 25, 21
0, 24, 25, 22
0, 24, 25, 21
0, 24, 25, 21
0, 25, 25, 22
0, 25, 25, 22
1, 26, 26, 24
1, 26, 26, 24
1, 26, 26, 24
1, 26, 26, 24
1, 26, 26, 24
2, 26, 26, 24
1, 25, 27, 23
1, 24, 27, 23
2, 24, 27, 22
2, 23, 27, 21
2, 22, 28, 21
2, 21, 28, 20
2, 21, 28, 20
2, 20, 29, 19
3, 19, 30, 19
3, 18, 30, 18
3, 17, 31, 18
3, 17, 31, 18
4, 16, 32, 17
3, 16, 32, 16
3, 15, 32, 16
4, 14, 32, 15
4, 13, 33, 14
4, 12, 34, 14
4, 12, 34, 13
4, 11, 34, 13
4, 10, 34, 12
4, 10, 34, 12
4, 9, 35, 11
4, 9, 35, 11
4, 8, 35, 10
5, 8, 36, 10
6, 7, 37, 10
6, 7, 37, 11
7, 7, 38, 11
7, 6, 38, 11
7, 5, 38, 10
7, 5, 38, 9
6, 5, 38, 9
5, 5, 37, 8
5, 5, 37, 8
5, 4, 37, 7
4, 3, 37, 6
4, 2, 37, 5
4, 1, 37, 4
3, 1, 37, 3
2, 0, 37, 2
1, 0, 36, 1
1, 0, 35, 1
0, 0, 34, 0
0, 0, 34, 0
1, 0, 33, 1
2, 0, 32, 1
3, 0, 32, 1
3, 0, 31, 2
5, 0, 30, 3
25, 0, 13, 16
25, 0, 13, 17
25, 0, 13, 17
25, 0, 13, 18
26, 1, 12, 19
28, 4, 12, 23
30, 8, 12, 28
30, 8, 12, 28
30, 8, 11, 28
31, 8, 10, 29
31, 9, 11, 30
32, 9, 10, 31
33, 10, 9, 32
32, 9, 10, 31
33, 9, 10, 31
32, 10, 11, 31
33, 10, 10, 32
32, 10, 10, 31
33, 8, 9, 31
34, 7, 7, 30
35, 6, 7, 30
36, 6, 6, 30
35, 5, 6, 29
36, 4, 5, 29
37, 2, 4, 27
35, 0, 4, 24
35, 1, 3, 23
35, 2, 3, 22
35, 3, 3, 21
34, 4, 3, 19
34, 5, 2, 19
34, 5, 3, 18
33, 7, 3, 16
33, 8, 2, 15
35, 9, 1, 16
35, 9, 1, 16
36, 9, 0, 16
34, 11, 0, 14
33, 12, 1, 12
33, 14, 0, 11
33, 14, 0, 10
33, 15, 0, 9
32, 16, 0, 8
32, 18, 0, 6
35, 16, 1, 9
37, 16, 3, 11
38, 17, 4, 10
39, 17, 4, 11
39, 16, 5, 13
40, 16, 5, 14
41, 16, 6, 14
42, 15, 7, 15
42, 16, 7, 15
43, 15, 8, 16
43, 17, 8, 14
44, 17, 9, 15
43, 18, 9, 13
43, 20, 9, 11
44, 21, 10, 11
44, 24, 12, 9
45, 26, 13, 8
44, 28, 13, 5
43, 29, 13, 3
43, 31, 14, 2
44, 33, 15, 1
42, 34, 14, 1
41, 36, 14, 3
40, 37, 13, 5
39, 39, 13, 7
38, 40, 12, 9
37, 41, 12, 11
35, 42, 11, 12
34, 43, 11, 13
33, 44, 10, 15
31, 44, 9, 17
30, 45, 8, 18
29, 46, 8, 20
28, 47, 7, 21
27, 47, 6, 22
26, 47, 5, 24
25, 48, 4, 25
24, 48, 4, 25
23, 48, 3, 26
